priority,designer_status,owner,review_bucket,designer_action,level_key,category,level,grade,score,similarity,preview_similarity_score,flat_similarity,flat_similarity_score,detail_dependency_score,raw_region_count,final_region_count,region_count_drop_pct,largest_region_pct,giant_region_legitimacy,giant_region_reference_color_std,hidden_label_pct,tiny_region_pct_lt_100,tiny_region_pct_lt_200,estimated_hidden_label_pct,overmerge_risk,untouchable_region_count,regions,colors,playable_score,fail_reasons,warnings,background_interpretation,tiny_detail_interpretation,why_flagged,exception_candidate,path,playability_profile,top_3_region_pct,max_color_pct,top_3_color_pct,tiny_region_count_lt_50,tiny_region_count_lt_100,tiny_region_count_lt_200,tiny_region_pct_lt_50,config_hidden_label_count,config_hidden_label_pct,estimated_hidden_label_count,hidden_label_count,label_min_screen_radius_px,median_region_area,p10_region_area,p25_region_area,region_density_by_canvas_size,min_touch_target_at_default_zoom,tiny_region_by_number_lt_100,playable_region_count,single_tap_completion_risk,preview_mae,shading_preservation_score,has_detail,line_dark_pct,recommendation,recommendation_reasons,design_focus,selected_profile,background_region_candidate
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/01,Animal,01,B,90,96.33,96.33,91.75,91.75,4.58,2481,180,92.74,37.83,,,41.7,0.0,0.0,41.7,medium,12,180,48,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 92.7%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/01,medium,45.19,42.81,52.71,0,0,0,0.0,0,0.0,75,75,25,1686.5,576,856,171.66,13.71,{},180,none,9.36,97.39,True,9.31,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/02,Animal,02,B,90,95.36,95.36,90.51,90.51,4.85,2206,262,88.12,7.45,,,45.0,0.0,0.4,45.0,medium,24,262,57,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 88.1%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/02,medium,15.67,12.36,23.64,0,0,1,0.0,0,0.0,118,118,25,1679.0,459,783,249.86,14.77,{},261,none,11.83,95.3,True,10.39,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/03,Animal,03,B,90,95.01,95.01,84.67,84.67,10.34,2179,123,94.36,13.17,,,53.7,0.0,0.0,53.7,medium,15,123,58,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 94.4%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/03,medium,24.98,13.17,29.1,0,0,0,0.0,0,0.0,66,66,25,2384.0,498,893,117.3,15.82,{},123,none,12.73,95.27,True,11.25,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/04,Animal,04,B,90,95.36,95.36,88.4,88.4,6.96,1557,98,93.71,29.28,,,35.7,0.0,0.0,35.7,medium,6,98,56,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 93.7%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/04,medium,54.57,31.43,58.07,0,0,0,0.0,0,0.0,35,35,25,2329.0,651,1066,93.46,17.93,{},98,none,11.83,95.45,True,8.24,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/05,Animal,05,B,90,95.12,95.12,80.16,80.16,14.96,1141,90,92.11,44.83,,,54.4,0.0,1.1,54.4,medium,13,90,64,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 92.1%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/05,medium,68.85,45.04,69.33,0,0,1,0.0,0,0.0,49,49,25,1686.0,430,772,85.83,14.77,{},89,none,12.45,95.61,True,9.74,REGENERATE_AUTO,REGENERATE_AUTO,line,standard:120:0,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/06,Animal,06,B,90,94.42,94.42,89.95,89.95,4.47,2953,179,93.94,21.89,,,46.4,0.0,0.6,46.4,medium,14,179,57,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 93.9%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/06,medium,27.09,21.89,32.4,0,0,1,0.0,0,0.0,83,83,25,1959.0,487,815,170.71,14.77,{},178,none,14.23,94.67,True,11.68,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/07,Animal,07,B,90,96.81,96.81,91.14,91.14,5.67,1938,41,97.88,23.34,,,34.1,0.0,0.0,34.1,medium,7,41,41,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 97.9%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/07,medium,53.25,23.34,53.25,0,0,0,0.0,0,0.0,14,14,25,2299.0,389,779,39.1,15.82,{},41,none,8.13,96.74,True,6.16,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/08,Animal,08,B,90,97.34,97.34,92.9,92.9,4.44,1074,123,88.55,8.47,,,52.8,0.0,0.0,52.8,medium,14,123,62,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 88.5%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/08,medium,23.55,16.0,40.33,0,0,0,0.0,0,0.0,65,65,25,1439.0,394,603,117.3,15.82,{},123,none,6.79,97.74,True,16.2,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/09,Animal,09,B,90,96.44,96.44,94.31,94.31,2.13,1288,104,91.93,48.0,,,57.7,0.0,0.0,57.7,medium,13,104,56,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 91.9%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/09,medium,70.27,48.05,74.47,0,0,0,0.0,0,0.0,60,60,25,1306.0,443,612,99.18,15.82,{},104,none,9.09,96.4,True,5.03,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Animal/10,Animal,10,B,90,95.55,95.55,92.53,92.53,3.02,2161,190,91.21,11.29,,,48.9,0.0,0.0,48.9,medium,14,190,58,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 91.2%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Animal/10,medium,26.65,12.13,33.5,0,0,0,0.0,0,0.0,93,93,25,1618.5,540,913,181.2,15.82,{},190,none,11.34,95.17,True,9.86,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
