level_key,decision,issue_tags,grade,score,final_region_count,largest_region_pct,top_2_region_pct,region_count_drop_pct,hidden_label_pct
Animal/01,replace_or_redraw,large_regions;overmerge,B,90,180,37.8,41.7,92.7,41.7
Animal/02,designer_review,overmerge,B,90,262,7.5,12.0,88.1,45.0
Animal/03,designer_review,overmerge;many_hidden_labels,B,90,123,13.2,19.3,94.4,53.7
Animal/04,replace_or_redraw,large_regions;overmerge;low_region_count,B,90,98,29.3,52.3,93.7,35.7
Animal/05,replace_or_redraw,large_regions;overmerge;many_hidden_labels;low_region_count,B,90,90,44.8,66.2,92.1,54.4
Animal/06,designer_review,large_region_review;overmerge,B,90,179,21.9,24.6,93.9,46.4
Animal/07,replace_or_redraw,large_region_review;overmerge;too_few_regions,B,90,41,23.3,40.4,97.9,34.1
Animal/08,designer_review,overmerge;many_hidden_labels,B,90,123,8.5,16.6,88.5,52.8
Animal/09,replace_or_redraw,large_regions;overmerge;many_hidden_labels;low_region_count,B,90,104,48.0,63.9,91.9,57.7
Animal/10,designer_review,overmerge,B,90,190,11.3,19.5,91.2,48.9
Animal_Test/03,designer_review,overmerge;many_hidden_labels,B,84,123,13.2,19.3,94.4,53.7
Animal_Test/04,replace_or_redraw,large_regions;overmerge;low_region_count,B,84,98,29.3,52.3,93.7,35.7
Cartoon/01,replace_or_redraw,large_regions;overmerge,B,90,126,29.4,36.1,93.8,42.1
Cartoon/02,replace_or_redraw,large_regions;overmerge;many_hidden_labels,B,78,168,30.3,37.8,90.7,56.5
Cartoon/03,designer_review,overmerge;many_hidden_labels,B,90,236,14.4,24.0,82.7,51.3
Cartoon/04,replace_or_redraw,large_regions;overmerge,B,90,137,39.8,44.1,94.8,43.8
Cartoon/05,designer_review,overmerge,B,90,188,12.3,16.8,88.2,42.0
Cartoon/06,designer_review,overmerge,B,90,189,5.8,10.1,90.6,43.9
Cartoon/07,designer_review,overmerge,B,90,143,12.7,20.2,92.9,36.4
Cartoon/08,designer_review,overmerge;many_hidden_labels,B,90,203,7.2,11.4,90.9,51.2
Cartoon/09,designer_review,large_region_review;overmerge;low_region_count,B,90,93,22.1,31.1,96.1,40.9
Cartoon/10,replace_or_redraw,large_regions;overmerge,B,90,155,36.2,39.7,89.3,47.1
